#latitude	longitude	dummy
47.98854301	-120.4698944	0
47.98325783	-120.8029175	0
47.973	-119.026	0
47.9725	-119.0261	0
47.9701	-116.5597	0
47.97	-123.86182	0
47.96510026	-120.7816315	0
47.96464049	-120.5056	0
47.96188179	-120.1821899	0
47.96130705	-120.9405899	0
47.961031	-91.522957	0
47.95958277	-120.2845001	0
47.95889304	-120.5320358	0
47.95498441	-120.8008575	0
47.95176531	-120.7665253	0
47.951296	-116.883956	0
47.950569	-124.383171	0
47.950206	-116.603874	0
47.9493	-113.9573	0
47.94716626	-120.9284019	0
47.94705128	-123.2600784	0
47.94532652	-112.8000641	0
47.940617	-124.385675	0
47.938568	-97.490169	0
47.93750691	-120.9206772	0
47.93474677	-115.3536987	0
47.934063	-118.997538	0
47.93388	-118.93941	0
47.9301462	-120.5090332	0
47.92895	-118.6932	0
47.9274	-119.0419	0
47.92370472	-113.840332	0
47.9223243	-112.7554321	0
47.9217	-114.2246	0
47.92163407	-120.7270432	0
47.9194	-118.5822	0
47.91864299	-120.1512909	0
47.9183	-124.60462	0
47.91312054	-120.4801941	0
47.910123	-116.702323	0
47.90897831	-120.2803802	0
47.9088	-124.6352	0
47.90772	-118.31311	0
47.90713722	-115.2218628	0
47.907	-91.846	0
47.90552621	-120.6714249	0
47.900012	-122.233942	0
47.8989	-97.0597	0
47.893776	-122.254077	0
47.8924061	-115.7354736	0
47.89010399	-112.7300262	0
47.888	-90.364	0
47.88795	-118.16696	0
47.88135501	-117.4383545	0
47.8778	-96.2731	0
47.87030156	-115.1641846	0
47.86661656	-115.6173706	0
47.864088	-117.421796	0
47.86373746	-121.4902496	0
47.85964	-123.93576	0
47.855732	-121.69558	0
47.85532959	-121.4559174	0
47.840771	-120.014778	0
47.837246	-122.301419	0
47.8356	-114.3906	0
47.83251783	-112.7574921	0
47.8321	-116.8891	0
47.829971	-116.723805	0
47.827837	-92.280395	0
47.82422015	-116.0993958	0
47.82422015	-124.18396	0
47.82422015	-124.2471313	0
47.81592	-118.33801	0
47.81325	-112.009194	0
47.8099	-92.286666	0
47.80762082	-124.2773438	0
47.8062373	-120.7575989	0
47.79885792	-115.9757996	0
47.79839667	-123.9807129	0
47.79839667	-124.2169189	0
47.79609038	-120.7246399	0
47.7957	-114.297	0
47.7928	-96.6106	0
47.79055486	-122.9349518	0
47.78640284	-120.3936768	0
47.78501875	-116.6699982	0
47.78086629	-121.5081024	0
47.780051	-122.21916	0
47.77717493	-116.0478973	0
47.77532915	-120.82901	0
47.77315	-116.743359	0
